country_iso3,country_name,status,anc4,sab,pop_proj_2022
AFG,Afghanistan,Acceleration Needed,27.6,61.8,40580.49
AGO,Angola,Acceleration Needed,,,35049.572
AIA,Anguilla,Achieved,,100,15.831
ALB,Albania,Achieved,77.8,100,2847.8530000000001
AND,Andorra,Achieved,,,79.688000000000002
ARE,United Arab Emirates,Achieved,,99.9,9403.2610000000004
ARG,Argentina,Achieved,90.4,98.8,45389.936999999998
ARM,Armenia,Achieved,,,2783.2260000000001
ATG,Antigua and Barbuda,Achieved,,99,93.488
AUS,Australia,Achieved,,98.7,26046.256000000001
AUT,Austria,Achieved,,98.1,8929.7160000000003
AZE,Azerbaijan,Achieved,,99.9,10329.61
BEN,Benin,Acceleration Needed,52.6,80.8,13174.362999999999
BEL,Belgium,Achieved,,,11640.679
BWA,Botswana,Acceleration Needed,,99.8,2607.5830000000001
BFA,Burkina Faso,Acceleration Needed,72.1,95.8,22388.008000000002
BGD,Bangladesh,On Track,38.3,69.8,170297.59400000001
BGR,Bulgaria,Achieved,,94.5,6833.6210000000001
BHR,Bahrain,Achieved,,98.2,1465.626
BHS,Bahamas,Achieved,,99,408.64699999999999
BIH,Bosnia and Herzegovina,Achieved,,99.9,3246.0450000000001
BLR,Belarus,Achieved,99.9,99.9,9549.8979999999992
BLZ,Belize,Achieved,,94.6,402.64699999999999
BOL,Bolivia (Plurinational State of),Achieved,,71.5,12148.966
BRA,Brazil,Achieved,92.3,98.2,214824.774
BRB,Barbados,Achieved,,98.4,281.44
BRN,Brunei Darussalam,Achieved,,99.6,447.18900000000002
BTN,Bhutan,Achieved,,98.9,779.96500000000003
BDI,Burundi,Acceleration Needed,,75.2,12715.87
CMR,Cameroon,Acceleration Needed,64.9,69,27552.212
CAN,Canada,Achieved,,97.6,38290.845999999998
CHE,Switzerland,Achieved,,,8712.018
CHL,Chile,Achieved,,99.8,19592.428
CHN,China,Achieved,92.9,,1425925.3859999999
CAF,Central African Republic,Acceleration Needed,41.4,40.3,5500.2950000000001
TCD,Chad,Acceleration Needed,,47.2,17449.261999999999
COM,Comoros,Acceleration Needed,64.3,97.2,829.245
COG,Congo,Acceleration Needed,,,5902.5519999999997
COK,Cook Islands,Achieved,,,16.989000000000001
COL,Colombia,Achieved,,97.5,51788.826999999997
CIV,Côte d'Ivoire,Acceleration Needed,56.3,84,27810.491000000002
CPV,Cabo Verde,Achieved,85.6,97.3,590.50300000000004
CRI,Costa Rica,Achieved,94.1,98.8,5167.0630000000001
CUB,Cuba,Achieved,79.3,99.9,11220.584999999999
CYP,Cyprus,Achieved,,99.9,1247.08
CZE,Czechia,Achieved,,,10497.504999999999
DEU,Germany,Achieved,,96.3,83426.789000000004
COD,Democratic Republic of the Congo,Acceleration Needed,42.9,85.2,97413.857999999993
DMA,Dominica,Acceleration Needed,,100,72.599999999999994
DNK,Denmark,Achieved,,96.4,5867.9769999999999
DOM,Dominican Republic,Acceleration Needed,92.6,99.2,11175.767
DZA,Algeria,Achieved,69.8,98.8,44543.591999999997
ECU,Ecuador,Achieved,,96.3,17905.446
EGY,Egypt,Achieved,89.9,97.1,110132.806
DJI,Djibouti,Acceleration Needed,,,1113.1469999999999
ESP,Spain,Achieved,,99.9,47576.21
EST,Estonia,Achieved,,99.1,1327.6
ETH,Ethiopia,Acceleration Needed,43,49.8,121822.59
FIN,Finland,Achieved,,99.5,5538.2629999999999
